"V1" "V2"
"theta_cur" 3.32347344093266 7.24339161061223
"theta_cur" 4.64818107220414 5.66647481077542
"theta_cur" 4.0542253053164 5.17524999014215
"theta_cur" 3.08667412158893 5.61200402180491
"theta_cur" 3.05577826838238 6.71070813761227
"theta_cur" 3.75662563592706 5.35468658419177
"theta_cur" 3.94155707084388 6.02119027139221
"theta_cur" 3.68375026912465 4.84956457174956
"theta_cur" 3.02453747458013 5.52604373993795
"theta_cur" 3.31413170009339 10.9530075203399
"theta_cur" 3.50534480397173 5.88361470963403
"theta_cur" 3.51304234301608 3.21461991460263
"theta_cur" 2.47271449407461 4.84856544596541
"theta_cur" 3.64541813104462 5.58262535282269
"theta_cur" 4.26493359490724 2.89066184312192
"theta_cur" 1.90953857488922 4.36699639763663
"theta_cur" 3.58851195001719 6.41798634366133
"theta_cur" 3.7195029502321 7.19062660405285
"theta_cur" 4.37329218927297 4.45658188001111
"theta_cur" 3.5714408860887 7.22970961442466
"theta_cur" 4.63890987777921 4.66522673131387
"theta_cur" 2.71751648318069 4.80626195456352
"theta_cur" 2.73725358308246 6.10428090427968
"theta_cur" 3.2975320336319 6.97971365746313
"theta_cur" 3.73822587149709 7.04373846696531
"theta_cur" 2.97823998095963 7.76000453723605
"theta_cur" 4.48174282733746 8.39865738769398
"theta_cur" 3.79003830563196 3.64119619727368
"theta_cur" 4.01191499437171 5.10576073996756
"theta_cur" 3.39369982236099 6.20485759167401
"theta_cur" 3.61480963429806 7.51752601611226
"theta_cur" 3.48361265678486 7.99397323954895
"theta_cur" 3.73566492800353 3.68548387097799
"theta_cur" 2.38721428322226 4.33960435023513
"theta_cur" 1.98212718284349 6.61977883875933
"theta_cur" 4.21074385761721 8.72956775827516
"theta_cur" 3.35041979783522 6.66396558842113
"theta_cur" 3.24455690539802 9.50567109109716
"theta_cur" 4.75184424241954 5.09012997691247
"theta_cur" 2.93365315695821 7.70239928222327
"theta_cur" 2.78793066842488 6.54630207871114
"theta_cur" 3.91427288713159 6.06424489093146
"theta_cur" 5.02606286423166 6.76461193164894
"theta_cur" 2.71193678667837 5.49418549498853
"theta_cur" 3.67159013336244 8.14186538795154
